segment,region,match_types,keyword_set_id,source
A / Broad,A,Broad,ks_0001,historical
B / Broad,B,Broad,ks_0002,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0005,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0006,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0013,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0014,historical
A / Phrase; Exact,A,Phrase; Exact,ks_0015,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0007,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0008,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0017,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0018,historical
B / Phrase; Exact,B,Phrase; Exact,ks_0019,historical
USA / Broad,USA,Broad,ks_0009,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0010,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0023,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0024,historical
USA / Phrase; Exact,USA,Phrase; Exact,ks_0025,historical
A / Broad,A,Broad,synthetic_A_Broad_allowlist_n10_1,synthetic_allowlist_n10
A / Broad,A,Broad,synthetic_A_Broad_top_conv_n10_2,synthetic_top_conv_n10
A / Broad,A,Broad,synthetic_A_Broad_semantic_n10_3,synthetic_semantic_n10
A / Broad,A,Broad,synthetic_A_Broad_allowlist_n20_4,synthetic_allowlist_n20
A / Broad,A,Broad,synthetic_A_Broad_top_conv_n20_5,synthetic_top_conv_n20
A / Broad,A,Broad,synthetic_A_Broad_semantic_n20_6,synthetic_semantic_n20
A / Broad,A,Broad,synthetic_A_Broad_allowlist_n40_7,synthetic_allowlist_n40
A / Broad,A,Broad,synthetic_A_Broad_top_conv_n40_8,synthetic_top_conv_n40
A / Broad,A,Broad,synthetic_A_Broad_semantic_n40_9,synthetic_semantic_n40
B / Broad,B,Broad,synthetic_B_Broad_allowlist_n10_10,synthetic_allowlist_n10
B / Broad,B,Broad,synthetic_B_Broad_top_conv_n10_11,synthetic_top_conv_n10
B / Broad,B,Broad,synthetic_B_Broad_semantic_n10_12,synthetic_semantic_n10
B / Broad,B,Broad,synthetic_B_Broad_allowlist_n20_13,synthetic_allowlist_n20
B / Broad,B,Broad,synthetic_B_Broad_top_conv_n20_14,synthetic_top_conv_n20
B / Broad,B,Broad,synthetic_B_Broad_semantic_n20_15,synthetic_semantic_n20
B / Broad,B,Broad,synthetic_B_Broad_allowlist_n40_16,synthetic_allowlist_n40
B / Broad,B,Broad,synthetic_B_Broad_top_conv_n40_17,synthetic_top_conv_n40
B / Broad,B,Broad,synthetic_B_Broad_semantic_n40_18,synthetic_semantic_n40
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_allowlist_n10_19,synthetic_allowlist_n10
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_top_conv_n10_20,synthetic_top_conv_n10
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_semantic_n10_21,synthetic_semantic_n10
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_dispersion_n10_22,synthetic_dispersion_n10
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_composite_n10_23,synthetic_composite_n10
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_allowlist_n20_24,synthetic_allowlist_n20
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_top_conv_n20_25,synthetic_top_conv_n20
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_semantic_n20_26,synthetic_semantic_n20
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_dispersion_n20_27,synthetic_dispersion_n20
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_composite_n20_28,synthetic_composite_n20
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_allowlist_n40_29,synthetic_allowlist_n40
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_top_conv_n40_30,synthetic_top_conv_n40
A / Phrase; Exact,A,Phrase; Exact,synthetic_A_Phrase; Exact_semantic_n40_31,synthetic_semantic_n40
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_allowlist_n10_32,synthetic_allowlist_n10
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_top_conv_n10_33,synthetic_top_conv_n10
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_semantic_n10_34,synthetic_semantic_n10
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_dispersion_n10_35,synthetic_dispersion_n10
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_composite_n10_36,synthetic_composite_n10
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_allowlist_n20_37,synthetic_allowlist_n20
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_top_conv_n20_38,synthetic_top_conv_n20
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_semantic_n20_39,synthetic_semantic_n20
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_dispersion_n20_40,synthetic_dispersion_n20
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_composite_n20_41,synthetic_composite_n20
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_allowlist_n40_42,synthetic_allowlist_n40
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_top_conv_n40_43,synthetic_top_conv_n40
B / Phrase; Exact,B,Phrase; Exact,synthetic_B_Phrase; Exact_semantic_n40_44,synthetic_semantic_n40
USA / Broad,USA,Broad,synthetic_USA_Broad_allowlist_n10_45,synthetic_allowlist_n10
USA / Broad,USA,Broad,synthetic_USA_Broad_top_conv_n10_46,synthetic_top_conv_n10
USA / Broad,USA,Broad,synthetic_USA_Broad_semantic_n10_47,synthetic_semantic_n10
USA / Broad,USA,Broad,synthetic_USA_Broad_allowlist_n20_48,synthetic_allowlist_n20
USA / Broad,USA,Broad,synthetic_USA_Broad_top_conv_n20_49,synthetic_top_conv_n20
USA / Broad,USA,Broad,synthetic_USA_Broad_semantic_n20_50,synthetic_semantic_n20
USA / Broad,USA,Broad,synthetic_USA_Broad_allowlist_n40_51,synthetic_allowlist_n40
USA / Broad,USA,Broad,synthetic_USA_Broad_top_conv_n40_52,synthetic_top_conv_n40
USA / Broad,USA,Broad,synthetic_USA_Broad_semantic_n40_53,synthetic_semantic_n40
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_allowlist_n10_54,synthetic_allowlist_n10
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_top_conv_n10_55,synthetic_top_conv_n10
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_semantic_n10_56,synthetic_semantic_n10
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_dispersion_n10_57,synthetic_dispersion_n10
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_composite_n10_58,synthetic_composite_n10
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_allowlist_n20_59,synthetic_allowlist_n20
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_top_conv_n20_60,synthetic_top_conv_n20
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_semantic_n20_61,synthetic_semantic_n20
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_dispersion_n20_62,synthetic_dispersion_n20
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_composite_n20_63,synthetic_composite_n20
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_allowlist_n40_64,synthetic_allowlist_n40
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_top_conv_n40_65,synthetic_top_conv_n40
USA / Phrase; Exact,USA,Phrase; Exact,synthetic_USA_Phrase; Exact_semantic_n40_66,synthetic_semantic_n40
